type,id_1,question_1,id_2,question_2
exact,tech-en-0032,What is 'la domotique'?,tech-en-0135,What is 'la domotique'?
exact,tech-en-0032,What is 'la domotique'?,tech-en-0184,What is 'la domotique'?
exact,tech-en-0059,Which of these is 'un objet connecté'?,tech-en-0222,Which of these is 'un objet connecté'?
exact,tech-en-0032,What is 'la domotique'?,tech-en-0223,What is 'la domotique'?
exact,tech-en-0161,Which word means 'the web'?,tech-en-0225,Which word means 'the web'?
exact,tech-en-0007,What is the French word for 'the internet'?,tech-en-0237,What is the French word for 'the internet'?
exact,tech-en-0197,What is 'une application'?,tech-en-0244,What is 'une application'?
exact,tech-en-0064,What is 'le codage binaire'?,tech-en-0245,What is 'le codage binaire'?
exact,tech-en-0070,What is 'la cybersécurité'?,tech-en-0257,What is 'la cybersécurité'?
exact,tech-en-0154,"If you 'actualises' a page, you are ___ it.",tech-en-0267,"If you 'actualises' a page, you are ___ it."
exact,tech-en-0221,What does 'sauvegarder' mean?,tech-en-0269,What does 'sauvegarder' mean?
exact,tech-en-0181,What is 'un octet'?,tech-en-0272,What is 'un octet'?
exact,tech-en-0187,What is 'un smartphone'?,tech-en-0277,What is 'un smartphone'?
exact,tech-en-0070,What is 'la cybersécurité'?,tech-en-0295,What is 'la cybersécurité'?
exact,tech-en-0252,"To use a tablet, you use your '___'.",tech-en-0299,"To use a tablet, you use your '___'."
exact,tech-en-0278,What is 'un moteur de recherche'?,tech-en-0306,What is 'un moteur de recherche'?
exact,tech-en-0070,What is 'la cybersécurité'?,tech-en-0310,What is 'la cybersécurité'?
exact,tech-en-0134,What is 'un algorithme'?,tech-en-0321,What is 'un algorithme'?
exact,tech-en-0270,What is 'le cloud'?,tech-en-0323,What is 'le cloud'?
exact,tech-en-0197,What is 'une application'?,tech-en-0332,What is 'une application'?
exact,tech-en-0282,What is 'la programmation'?,tech-en-0333,What is 'la programmation'?
exact,tech-en-0236,What is 'un bug'?,tech-en-0334,What is 'un bug'?
exact,tech-en-0032,What is 'la domotique'?,tech-en-0335,What is 'la domotique'?
exact,tech-en-0227,You use 'un ___' to take a digital photo.,tech-en-0339,You use 'un ___' to take a digital photo.
exact,tech-en-0187,What is 'un smartphone'?,tech-en-0341,What is 'un smartphone'?
exact,tech-en-0258,What is 'la fibre optique'?,tech-en-0345,What is 'la fibre optique'?
exact,tech-en-0247,What is 'un serveur'?,tech-en-0347,What is 'un serveur'?
exact,tech-en-0210,What is 'la mémoire vive'?,tech-en-0348,What is 'la mémoire vive'?
exact,tech-en-0285,What is 'un e-mail'?,tech-en-0349,What is 'un e-mail'?
exact,tech-en-0252,"To use a tablet, you use your '___'.",tech-en-0350,"To use a tablet, you use your '___'."
exact,tech-en-0144,What is 'le haut-parleur'?,tech-en-0354,What is 'le haut-parleur'?
exact,tech-en-0256,What is 'le Wi-Fi'?,tech-en-0356,What is 'le Wi-Fi'?
exact,tech-en-0122,What is 'la réalité virtuelle'?,tech-en-0358,What is 'la réalité virtuelle'?
exact,tech-en-0124,What is 'l'intelligence artificielle'?,tech-en-0359,What is 'l'intelligence artificielle'?
exact,tech-en-0133,What is 'le codage'?,tech-en-0360,What is 'le codage'?
exact,tech-en-0047,What is 'un écran tactile'?,tech-en-0361,What is 'un écran tactile'?
exact,tech-en-0289,What is 'un site web'?,tech-en-0364,What is 'un site web'?
exact,tech-en-0134,What is 'un algorithme'?,tech-en-0369,What is 'un algorithme'?
exact,tech-en-0271,Which material is 'conducteur'?,tech-en-0371,Which material is 'conducteur'?
exact,tech-en-0256,What is 'le Wi-Fi'?,tech-en-0373,What is 'le Wi-Fi'?
exact,tech-en-0208,What is 'un courriel'?,tech-en-0377,What is 'un courriel'?
exact,tech-en-0329,What is 'une clé USB'?,tech-en-0379,What is 'une clé USB'?
exact,tech-en-0181,What is 'un octet'?,tech-en-0381,What is 'un octet'?
exact,tech-en-0294,What is 'le nuage'?,tech-en-0384,What is 'le nuage'?
