type,id_1,question_1,id_2,question_2
exact,tech-fr-medium-0025,Que signifie 'déboguer' un programme ?,tech-fr-medium-0074,Que signifie 'déboguer' un programme ?
exact,tech-fr-easy-0048,Quel est l'outil qui affiche les pages web et permet de cliquer sur des liens ?,tech-fr-easy-0094,Quel est l'outil qui affiche les pages web et permet de cliquer sur des liens ?
exact,tech-fr-easy-0096,Que dois-tu garder secret pour protéger ton compte en ligne ?,tech-fr-easy-0136,Que dois-tu garder secret pour protéger ton compte en ligne ?
exact,tech-fr-easy-0048,Quel est l'outil qui affiche les pages web et permet de cliquer sur des liens ?,tech-fr-easy-0137,Quel est l'outil qui affiche les pages web et permet de cliquer sur des liens ?
exact,tech-fr-easy-0095,Quel mot décrit un message qui essaie de te tromper pour obtenir tes informations ?,tech-fr-easy-0138,Quel mot décrit un message qui essaie de te tromper pour obtenir tes informations ?
exact,tech-fr-medium-0091,Pourquoi vérifier la source d'une information trouvée sur internet est important pour un exposé ?,tech-fr-medium-0111,Pourquoi vérifier la source d'une information trouvée sur internet est important pour un exposé ?
exact,tech-fr-medium-0094,Pourquoi est-il utile de supprimer les cookies de temps en temps ?,tech-fr-medium-0114,Pourquoi est-il utile de supprimer les cookies de temps en temps ?
exact,tech-fr-medium-0095,Que signifie 'URL' et quelles parties importantes contient-elle ?,tech-fr-medium-0115,Que signifie 'URL' et quelles parties importantes contient-elle ?
exact,tech-fr-easy-0055,"Si une lampe ne s'allume pas, que peux-tu vérifier en premier ?",tech-fr-easy-0145,"Si une lampe ne s'allume pas, que peux-tu vérifier en premier ?"
exact,tech-fr-easy-0057,Quel mot décrit un matériau qui n'autorise pas le passage du courant ?,tech-fr-easy-0147,Quel mot décrit un matériau qui n'autorise pas le passage du courant ?
exact,tech-fr-easy-0059,Quel côté d'une pile est souvent marqué d'un '+' ?,tech-fr-easy-0149,Quel côté d'une pile est souvent marqué d'un '+' ?
exact,tech-fr-easy-0060,Quel geste est dangereux près d'une prise électrique : toucher avec les mains mouillées ou sèches ?,tech-fr-easy-0150,Quel geste est dangereux près d'une prise électrique : toucher avec les mains mouillées ou sèches ?
exact,tech-fr-medium-0056,Que mesure un voltmètre dans un circuit ?,tech-fr-medium-0118,Que mesure un voltmètre dans un circuit ?
exact,tech-fr-easy-0077,Quel mot décrit une action qui se répète plusieurs fois ?,tech-fr-easy-0164,Quel mot décrit une action qui se répète plusieurs fois ?
exact,tech-fr-easy-0020,Quel périphérique permet de sauvegarder des fichiers et de les transporter facilement ?,tech-fr-easy-0198,Quel périphérique permet de sauvegarder des fichiers et de les transporter facilement ?
exact,tech-fr-easy-0022,Quel mot décrit une suite d'actions à suivre pour résoudre un problème ?,tech-fr-easy-0202,Quel mot décrit une suite d'actions à suivre pour résoudre un problème ?
exact,tech-fr-easy-0113,Que signifie 'répéter' dans une suite d'instructions ?,tech-fr-easy-0203,Que signifie 'répéter' dans une suite d'instructions ?
exact,tech-fr-easy-0076,"Si une instruction dit 'si le drapeau est rouge alors s'arrêter', que fais-tu si le drapeau est roug",tech-fr-easy-0204,"Si une instruction dit 'si le drapeau est rouge alors s'arrêter', que fais-tu si le drapeau est roug"
exact,tech-fr-easy-0166,Quel mot simple peut garder un nombre comme le score d'un jeu ?,tech-fr-easy-0205,Quel mot simple peut garder un nombre comme le score d'un jeu ?
exact,tech-fr-easy-0167,Quelle est la première étape avant d'exécuter un algorithme ?,tech-fr-easy-0206,Quelle est la première étape avant d'exécuter un algorithme ?
exact,tech-fr-easy-0117,Quel mot utilise-t-on pour dire 'si ceci alors cela' dans un programme ?,tech-fr-easy-0207,Quel mot utilise-t-on pour dire 'si ceci alors cela' dans un programme ?
exact,tech-fr-easy-0120,Quel est le résultat si tu exécutes 'avancer' trois fois ?,tech-fr-easy-0209,Quel est le résultat si tu exécutes 'avancer' trois fois ?
exact,tech-fr-easy-0130,Quel objet technique peut t'aider à mesurer la durée d'une activité ?,tech-fr-easy-0211,Quel objet technique peut t'aider à mesurer la durée d'une activité ?
exact,tech-fr-easy-0127,Quel objet technique peut t'aider à écouter un conte audio ?,tech-fr-easy-0212,Quel objet technique peut t'aider à écouter un conte audio ?
exact,tech-fr-easy-0126,Quel objet technique peut t'aider à calculer rapidement des additions ?,tech-fr-easy-0214,Quel objet technique peut t'aider à calculer rapidement des additions ?
exact,tech-fr-easy-0180,Quel objet technique peut t'aider à écouter de la musique sans déranger les autres ?,tech-fr-easy-0215,Quel objet technique peut t'aider à écouter de la musique sans déranger les autres ?
exact,tech-fr-easy-0178,Quel objet technique peut t'aider à lire un texte en grand pour toute la classe ?,tech-fr-easy-0216,Quel objet technique peut t'aider à lire un texte en grand pour toute la classe ?
exact,tech-fr-easy-0036,Quel objet technique peut être radiocommandé pour jouer ?,tech-fr-easy-0219,Quel objet technique peut être radiocommandé pour jouer ?
exact,tech-fr-easy-0175,Quel objet technique peut t'aider à mesurer la longueur d'une table ?,tech-fr-easy-0220,Quel objet technique peut t'aider à mesurer la longueur d'une table ?
exact,tech-fr-easy-0176,Quel objet technique peut t'aider à enregistrer une chanson ?,tech-fr-easy-0221,Quel objet technique peut t'aider à enregistrer une chanson ?
exact,tech-fr-easy-0129,Quel objet technique peut t'aider à traduire un mot dans une autre langue ?,tech-fr-easy-0222,Quel objet technique peut t'aider à traduire un mot dans une autre langue ?
exact,tech-fr-easy-0123,Quel objet technique peut t'aider à lire un livre en grand format sur un écran ?,tech-fr-easy-0228,Quel objet technique peut t'aider à lire un livre en grand format sur un écran ?
